title,brand,price,rating,reviews,url,ram_gb,storage_gb,cpu
"Hp Chromebook 11 G6 Touchscreen | 4GB RAM DDR4 | 16GB SSD EMMC | Playstore supported | 11.6"" Touchscreen | Update 2027",No Brand,8811.0,4.333333333333333,6.0,https:,4.0,4.0,other
Microsoft surface pro 7 I5 10th Generation 8gb 256gb 4 GB Intel HD Graphics 620  2 in 1 tablet laptop with Original de attachable lighting keyboard,No Brand,63000.0,0.0,0.0,https:,0.0,8.0,i5
HP 15S-FD0110TU Core i7-1355U 16GB DDR4 512GB PCIe Value Intel Iris Xe 15.6 FHD Antiglare slim IPS 250 nits Narrow Border  Windows 11 Home Natural Silver   (1 Year Warranty),HP,236499.0,0.0,0.0,https:,0.0,16.0,i7
"HP G8 Chromebook – 11.6"" HD Display, 4GB RAM, 32GB SSD – Lightweight Laptop for School, Work & Daily Use | Webcam | Playstore Supported | 2029 Updateable | ChromeBook",No Brand,9999.0,5.0,1.0,https:,4.0,4.0,other
Acer | Chromebook Spin 511 R752T | 32GB Storage | 4GB RAM | Intel UHD Graphics 500 | Intel Celeron N4020 | 11.6″ Display | Windows 10 | ChromeBook - Daraz Like New Laptops,Acer,12949.0,4.6,10.0,https:,4.0,32.0,other
Apple Macbook Pro  2011 A1278 13.3 LED Display - Intel Core i5 Processor 4GB RAM - 128GB SSD -  Dual Operating Systems Windows® 10 & IOS (Activated),Daraz Like New,35999.0,4.214285714285714,14.0,https:,4.0,4.0,i5
Samsung NP900X3N i7 7th Gen | 8GB RAM | 256GB SSD | 13.3″  Display -7 days checking warranty -Samsunng laptop,No Brand,53999.0,0.0,0.0,https:,8.0,8.0,i7
Acer | C740 | 128GB Storage | 2GB RAM | Windows 10 / 11.6″ Display | Play Store Supported | Android Apps Supported,Acer,11949.0,4.608888888888889,225.0,https:,2.0,128.0,other
"Lenovo N23 CHROMEBOOK - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen",No Brand,8118.0,4.657894736842105,38.0,https:,4.0,4.0,other
Daraz Like New - Lenovo Chromebook N21 | 4GB RAM | 16GB Storage | 11.6″ Display | Rotatable Webcam | 8 Hours Battery | FREE LAPTOP BAG,Lenovo,7999.0,5.0,7.0,https:,4.0,4.0,other
Lenovo | ChromeBook 300E (2nd Gen) | 4GB RAM | 32GB Storage | 11.6″ Display | | Touch Screen | 2029 Updateable | 360 Rotatable | Playstore Supported | ChromeBook,No Brand,14700.0,0.0,0.0,https:,4.0,4.0,other
"HP EliteBook 840 G6 Notebook PC Intel Core i7 8th Generation, 8GB DDR4 Ram, 256GB SSD Drive, 14.1"" Led Display, Intel FHD Graphics Card",No Brand,74999.0,0.0,0.0,https:,0.0,8.0,i7
HP Chromebook 11 G8 | 32GB Storage | 4GB RAM | 11.6″ Display | Playstore Supported Chromebook | Grey - Daraz Like New Laptops,HP,10999.0,4.744479495268139,317.0,https:,4.0,32.0,other
"USED - LAPTOPS - Dell 3180 Chromebook 11.6 inches HD screen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS / Windows 10 - USED",Daraz Like New,7771.5,5.0,1.0,https:,4.0,4.0,other
"Dell Chromebook 11 3120 P22T Windows 10 | 4GB RAM | 16GB SSD | 11.6"" Screen Size | Windows Converted",No Brand,8019.0,0.0,0.0,https:,4.0,4.0,other
Hp Chromebook 11 G4 - celeron processor - 4GB RAM - 16GB SSD,No Brand,8000.0,4.333333333333333,21.0,https:,4.0,4.0,other
"Dell Chromebook 3100 2in1 TOUCHSCREEN | 4GB RAM | 32GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" TOUCHSCREEN",No Brand,14999.0,0.0,0.0,https:,4.0,4.0,other
Lenovo 500e Chromebook Laptop | Intel Celeron processor | 4GB RAM | 32GB SSD,No Brand,13050.0,3.0,1.0,https:,4.0,4.0,other
"HP CHROMEBOOK 14 G6 | 4GB RAM DDR4 | 32GB SSD EMMC | 14"" SCREEN | PLAYSTORE | Update 2029",No Brand,14354.01,4.482758620689655,29.0,https:,4.0,4.0,other
Daraz Like New Laptops - Lenovo Chromebook 300E/500E X360 TOUCH SCREEN - 2027/2029 UPDATE -  Intel Celeron 4GB RAM 32GB Chrome OS,Lenovo,13299.0,4.480263157894737,152.0,https:,4.0,4.0,other
"Lenovo ThinkPad L380, Core i7 8th Gen, 16GB DDR4 RAM, 256GB NVMe SSD, 13.3″ FHD display, updated Windows 10 Pro — powerful, reliable, ready to use, with power adapter included.",No Brand,65000.0,0.0,0.0,https:,0.0,16.0,i7
"Samsung Chromebook 4 Chrome OS 11.6"" - HD Intel Celeron Processor N4000 - 4GB DDR4 RAM - 32GB eMMC - Gigabit Wi-Fi - Intel HD Graphics 600 - XE310XBA-K01US - Play Store - All Metal Body",Daraz Like New,13859.01,5.0,1.0,https:,0.0,4.0,other
HP | Chromebook 11 G5 |,No Brand,7199.1,0.0,0.0,https:,0.0,0.0,other
Lenovo | ChromeBook 100E | 4GB RAM | 32GB Storage | 11.6″ Display | Webcam | Playstore Supported | 2027 Updateable | ChromeBook,No Brand,8599.0,5.0,7.0,https:,4.0,4.0,other
Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,No Brand,9500.0,5.0,3.0,https:,4.0,4.0,other
"Acer Predator Helios Neo 16S AI PHN16S-71-99SA Gaming Laptop Intel Core Ultra 9-275HX, 32GB DDR5, 1TB SSD, NVIDIA RTX 5070Ti 12GB Graphics, 16"" OLED WQXGA 240Hz, Windows 11 Home",Acer,699999.0,0.0,0.0,https:,0.0,1024.0,other
"HP ProBook 635 Aero G7 Ultra-Lightweight Business Laptop with Ryzen 5, 16GB RAM & Fingerprint Security",No Brand,80000.0,5.0,8.0,https:,16.0,16.0,ryzen5
Daraz Like New Laptops - Dell Latitude E5480 - Core i7 6th Generation - 8GB DDR4 RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG (Windows 11 Activated),No Brand,49999.0,5.0,1.0,https:,0.0,8.0,i7
Lenovo Chromebook 300e/500e - X360 2-in-1 - (FREE STYLUS PEN GIFT) - Touch Laptop and Tab - 4GB Ram - 32GB Storage - Touch x 360° Rotatable - Type C Charger - Auto Update 2027/2029,Lenovo,14849.01,5.0,4.0,https:,4.0,4.0,other
"Acer Chromebook C730 Laptop – 11.6"" HD | Quad-Core | Chrome OS Windows | Free AirPods Pro  Student Laptop | Fast Boot | Spill-Resistant | Long Battery | Lightweight & Durable",No Brand,8000.0,0.0,0.0,https:,0.0,0.0,other
Daraz Like New Laptops - Lenovo N22/N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,Lenovo,7999.0,4.432098765432099,81.0,https:,4.0,4.0,other
